idf_threshold,train_accs,train_f1s,test_accs,test_f1s,model_name
10.0,1.0,1.0,0.8893333333333333,0.8854185955417908,lr
9.5,1.0,1.0,0.8893333333333333,0.8854185955417908,lr
9.0,1.0,1.0,0.8893333333333333,0.8854185955417908,lr
8.5,1.0,1.0,0.8893333333333333,0.8856018174222576,lr
8.0,1.0,1.0,0.8906666666666667,0.8871447275227606,lr
7.5,1.0,1.0,0.8906666666666667,0.8871551001919864,lr
7.0,1.0,1.0,0.8946666666666667,0.891547371313614,lr
6.5,1.0,1.0,0.896,0.893111708853038,lr
6.0,1.0,1.0,0.896,0.8929437322171732,lr
5.5,1.0,1.0,0.888,0.883621057006259,lr
5.0,1.0,1.0,0.8773333333333333,0.8738808166931212,lr
4.5,1.0,1.0,0.8666666666666667,0.8630454569406256,lr
4.0,1.0,1.0,0.8546666666666667,0.8503193102224673,lr
3.5,1.0,1.0,0.8466666666666667,0.8438746801009638,lr
3.0,1.0,1.0,0.804,0.8003570818045228,lr
2.5,1.0,1.0,0.7546666666666667,0.7500907267627059,lr
2.0,1.0,1.0,0.676,0.6688615560720963,lr
1.5,0.804,0.8063587096640653,0.5546666666666666,0.5388271703343875,lr
