idf_threshold,train_accs,train_f1s,test_accs,test_f1s,model_name
10.0,1.0,1.0,0.7016,0.696457125280169,lr
9.5,1.0,1.0,0.7016,0.696457125280169,lr
9.0,1.0,1.0,0.7016,0.696457125280169,lr
8.5,1.0,1.0,0.7016,0.696457125280169,lr
8.0,1.0,1.0,0.7052,0.7000441771628135,lr
7.5,1.0,1.0,0.7068,0.701584061890798,lr
7.0,1.0,1.0,0.7072,0.7021355298112211,lr
6.5,1.0,1.0,0.7084,0.7027795663055911,lr
6.0,1.0,1.0,0.6996,0.6950384763132794,lr
5.5,1.0,1.0,0.7,0.6945912568252562,lr
5.0,1.0,1.0,0.7156,0.7103044689927762,lr
4.5,1.0,1.0,0.6972,0.6894112408702823,lr
4.0,1.0,1.0,0.6876,0.6784379876627438,lr
3.5,1.0,1.0,0.66,0.6520344285878227,lr
3.0,1.0,1.0,0.6192,0.6069532289185934,lr
2.5,1.0,1.0,0.5328,0.5275511021840216,lr
2.0,1.0,1.0,0.398,0.3956604837508298,lr
1.5,1.0,1.0,0.2584,0.25429253847851246,lr
