idf_threshold,train_accs,train_f1s,test_accs,test_f1s,model_name
10.0,0.9732,0.973498637914289,0.654,0.642810233709135,nb
9.5,0.9732,0.973498637914289,0.654,0.642810233709135,nb
9.0,0.9732,0.973498637914289,0.654,0.642810233709135,nb
8.5,0.9732,0.973498637914289,0.654,0.642810233709135,nb
8.0,0.972,0.9722741594275277,0.6508,0.6395027552762375,nb
7.5,0.9716,0.9718844155149816,0.6468,0.6356662868354404,nb
7.0,0.9692,0.9693515276054948,0.65,0.6394387752621993,nb
6.5,0.9676,0.9676594718198014,0.6484,0.636610067862179,nb
6.0,0.9668,0.9670439453173811,0.6472,0.6348078327800555,nb
5.5,0.9684,0.9688056242847469,0.6416,0.628280216195367,nb
5.0,0.9684,0.9687562283245178,0.6352,0.6201477150568792,nb
4.5,0.9708,0.9712412591878973,0.6084,0.594400353057342,nb
4.0,0.972,0.9724872779860125,0.5856,0.5712169318158118,nb
3.5,0.9716,0.9724281906685309,0.5392,0.5270368805629801,nb
3.0,0.9652,0.966034722563957,0.494,0.4766299035282941,nb
2.5,0.9636,0.9639828055698385,0.3968,0.3777326873718982,nb
2.0,0.9268,0.9290944233193389,0.314,0.29125762595157967,nb
1.5,0.8448,0.8487723002748199,0.2496,0.2311157473260688,nb
